
   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server
  2026-09-11 23:31:16 /js/alpine.min.js ............................ ~ 0.42ms
  2026-09-11 23:31:17 /fonts/cairo-latin.woff2 ..................... ~ 0.01ms
  2026-09-11 23:31:19 /admin/inventory ........................... ~ 500.41ms
  2026-09-11 23:31:19 /login ....................................... ~ 0.02ms
  2026-09-11 23:31:19 /fonts/cairo-arabic.woff2 .................... ~ 0.02ms
  2026-09-11 23:31:19 /css/app.css?v=1789168546 .................... ~ 0.01ms
  2026-09-11 23:31:19 /logo.jpg .................................... ~ 0.01ms
  2026-09-11 23:31:19 /js/alpine.min.js ............................ ~ 0.01ms
  2026-09-11 23:31:19 /fonts/cairo-latin.woff2 ..................... ~ 0.01ms
  2026-09-11 23:31:30 /login ....................................... ~ 0.10ms
  2026-09-11 23:31:30 /login ..................................... ~ 500.41ms
  2026-09-11 23:31:30 /admin ....................................... ~ 0.02ms
  2026-09-11 23:31:30 /login ..................................... ~ 500.37ms
  2026-09-11 23:31:30 /fonts/cairo-arabic.woff2 .................... ~ 0.02ms
  2026-09-11 23:31:30 /css/app.css?v=1789168546 .................... ~ 0.02ms
  2026-09-11 23:31:30 /logo.jpg .................................... ~ 0.01ms
  2026-09-11 23:31:30 /js/alpine.min.js ............................ ~ 0.01ms
  2026-09-11 23:31:30 /fonts/cairo-latin.woff2 ..................... ~ 0.02ms
  2026-09-11 23:31:31 /admin ....................................... ~ 0.03ms
  2026-09-11 23:31:31 /login ..................................... ~ 500.36ms
  2026-09-11 23:31:31 /fonts/cairo-arabic.woff2 .................... ~ 0.03ms
  2026-09-11 23:31:31 /css/app.css?v=1789168546 .................... ~ 0.15ms
  2026-09-11 23:31:31 /logo.jpg .................................... ~ 0.02ms
  2026-09-11 23:31:31 /js/alpine.min.js ............................ ~ 0.01ms
  2026-09-11 23:31:31 /fonts/cairo-latin.woff2 ..................... ~ 0.02ms
  2026-09-11 23:32:13 /login ....................................... ~ 0.08ms
  2026-09-11 23:32:13 /login ....................................... ~ 0.10ms
  2026-09-11 23:32:14 /admin ..................................... ~ 500.35ms
  2026-09-11 23:32:21 /login ....................................... ~ 0.11ms
  2026-09-11 23:32:21 /login ..................................... ~ 500.37ms
  2026-09-11 23:32:28 /login ....................................... ~ 0.10ms
  2026-09-11 23:32:29 /css/app.css?v=1789168546 .................... ~ 0.04ms
  2026-09-11 23:32:29 /fonts/cairo-arabic.woff2 .................... ~ 0.16ms
  2026-09-11 23:32:29 /logo.jpg .................................... ~ 0.27ms
  2026-09-11 23:32:29 /js/alpine.min.js ............................ ~ 0.01ms
  2026-09-11 23:32:29 /fonts/cairo-latin.woff2 ..................... ~ 0.01ms
  2026-09-11 23:33:10 /login ..................................... ~ 500.38ms
  2026-09-11 23:33:11 /admin ....................................... ~ 0.02ms
